parcel_number,address,status_long,latitude,longitude,status_short
035 238801600,5300 BANCROFT AVE,Done - Level 1,37.77197341,-122.2028459,Level 1
020 018101500,1516 1ST AVE,Exempt - city inspection,37.79937347,-122.2557248,Exempt
010 078502400,398 EUCLID AVE,Done - Level 1 ,37.8111045,-122.2511903,Level 1
029 098901100,3627 COOLIDGE AVE,Incomplete Evaluation,37.79964831,-122.2079643,Incomplete Evaluation
010 083402500,340 ALTA VISTA AVE,Done - Level 1,37.81666979,-122.2480311,Level 1
012 098705004,145 MONTE CRESTA AVE,Exempt - engineer's letter,37.82385265,-122.250284,Exempt
030 192503000,3790 39TH AVE,Incomplete Evaluation,37.79132662,-122.1940475,Incomplete Evaluation
022 031002600,472 NEWTON AVE,Done - Level 2 Required  ,37.80438934,-122.2490887,Level 2
010 077202100,338 LENOX AVE,Done - Level 1,37.8100019,-122.257746,Level 1
010 080703601,3080 RICHMOND BLVD,Done - Level 2 Required  ,37.82002733,-122.2583275,Level 2
010 078500300,440 ADAMS ST,Done - Level 1 ,37.8158467,-122.2525463,Level 1
048A704100500,6044 MONROE AVE,Done - Level 1,37.84109,-122.246857,Level 1
010 079102500,394 ORANGE ST,Done - Level 2 Required  ,37.81671029,-122.2548111,Level 2
048 561704500,5 ANAIR WAY,Incomplete Evaluation - Unclaimed,37.75098367,-122.1552791,Incomplete Evaluation
023 048002400,3616 EMERSON ST,Incomplete Evaluation,37.80342847,-122.2311374,Incomplete Evaluation
021 023000200,415 E 19TH ST,Incomplete Evaluation - Unclaimed,37.7994198,-122.2498947,Incomplete Evaluation
010 077201300,465 LEE ST,Level 2 - Missing slope,37.80958597,-122.2573903,Incomplete Evaluation
012 099200403,54 GLEN AVE,Incomplete Evaluation,37.8255738,-122.2515709,Incomplete Evaluation
016 142300900,574 66TH ST,Exempt - less than 5 units,37.85204145,-122.2624633,Exempt
047 549801700,10401 BANCROFT AVE,Incomplete Evaluation,37.74262625,-122.1580198,Incomplete Evaluation
010 077801900,414 STATEN AVE,Done - Level 1,37.80998859,-122.2533394,Level 1
012 098800701,95 LINDA AVE,Incomplete Evaluation,37.8252226,-122.2486092,Incomplete Evaluation
012 101800900,854 40TH ST,Ask for exemption - did not review ,37.83078526,-122.2728041,Exempt
011 084001400,800 YORK ST,Exempt - retrofitted,37.81271669,-122.2435606,Exempt
028 095201103,3390 ARKANSAS ST,Done - Level 1,37.79243054,-122.2045084,Level 1
010 079500802,305 VERNON ST,Incomplete Evaluation - Unclaimed,37.81495106,-122.25721,Incomplete Evaluation
021 022402800,176 ATHOL AVE,Exempt - city inspection,37.80066829,-122.2523377,Exempt
010 078700200,287 EUCLID AVE,Done - Level 1,37.81433443,-122.2533563,Level 1
010 078802401,330 ADAMS ST,Exempt - engineer's letter,37.81409214,-122.2558605,Exempt
010 076901200,137 MONTECITO AVE,Done - Level 1,37.81185856,-122.2599633,Level 1
027 085800101,2901 SCHOOL ST,Done - Level 1,37.79535639,-122.2147384,Level 1
033 212201400,3314 FARNAM ST,Incomplete Evaluation - Unclaimed,37.77785568,-122.2239434,Incomplete Evaluation
023 041801301,607 BEACON ST,Incomplete Evaluation,37.80836052,-122.2468318,Incomplete Evaluation
011 084100200,521 PRINCE ST,Level 1 - missing data,37.81405593,-122.2427439,Level 1
020 012902800,1410 LAKESHORE AVE,Exempt - retrofitted,37.79939811,-122.2574185,Exempt
020 019100103,1648 10TH AVE,Incomplete Evaluation,37.79377642,-122.2468908,Incomplete Evaluation
010 083102300,660 VERNON ST,Incomplete Evaluation,37.81958458,-122.2483427,Incomplete Evaluation
028 090902900,3474 BOSTON AVE,Incomplete Evaluation,37.79913563,-122.2126076,Incomplete Evaluation
020 018501400,418 FOOTHILL BLVD,Exempt - engineer's letter,37.79770424,-122.2523177,Exempt
015 138301101,5964 RACINE ST North bldg,Level 1 - missing data ,37.84592202,-122.2615319,Level 1
011 083901700,832 ERIE ST,Exempt - engineer's letter,37.81257356,-122.242431,Exempt
014 121100300,5601 SHATTUCK AVE,Done - Level 1,37.84143901,-122.2648426,Level 1
022 031100700,445 ATHOL AVE,Done - Level 1,37.80323205,-122.2460867,Level 1
002 007300400,233 10TH ST,Exempt - less than 5 units,37.79927768,-122.2677726,Exempt
029A130203501,3600 DIMOND AVE,Incomplete Evaluation,37.80214203,-122.2163106,Incomplete Evaluation
010 076902704,98 VERNON ST,Done - Level 1,37.81311326,-122.2587041,Level 1
040A342004000,7886 NEY AVE,Incomplete Evaluation,37.76638962,-122.1655086,Incomplete Evaluation
010 076902801,245 LEE ST,Incomplete Evaluation,37.81322819,-122.2584183,Incomplete Evaluation
023 041401500,2244 LAKESHORE AVE,Done - Level 2 Required  ,37.80601118,-122.2497922,Level 2
041 414200900,1035 76TH AVE,Exempt - less than 5 units,37.75474519,-122.1904075,Exempt
020 016001200,2210 E 15TH ST,Level 1 - missing data ,37.7854534,-122.2365298,Level 1
010 080701300,3505 KEMPTON WAY,Exempt - engineer's letter,37.82114589,-122.2562428,Exempt
022 033800300,2501 7TH AVE,Done - Level 2 Required  ,37.80172728,-122.242396,Level 2
012 098705300,765 KINGSTON AVE,Done - Level 2 Required  ,37.82358327,-122.2496499,Level 2
010 077701000,362 BELMONT ST,Exempt - engineer's letter,37.81005319,-122.2551035,Exempt
030 198014800,3507 38TH AVE,Level 1 - missing data ,37.79061807,-122.198672,Level 1
026 076500400,2317 FRUITVALE AVE,Incomplete Evaluation,37.78588356,-122.2221362,Incomplete Evaluation
022 033801300,2303 IVY DR,Incomplete Evaluation,37.80124838,-122.24434,Incomplete Evaluation
013 114600601,5005 SHAFTER AVE,Level 2 - Missing slope,37.83622923,-122.2587847,Incomplete Evaluation
010 077301500,280 LENOX AVE,Level 2 - Missing slope,37.8120543,-122.2576294,Incomplete Evaluation
028 095701400,3614 MIDVALE AVE,Incomplete Evaluation - Unclaimed,37.79437166,-122.2006929,Incomplete Evaluation
037 254701401,3799 BUELL ST,Exempt - no large openings,37.7861684,-122.1868373,Exempt
001 017901700,211 8TH ST,Incomplete Evaluation,37.79773618,-122.268193,Incomplete Evaluation
022 031500402,2400 IVY DR,Done - Level 2 Required  ,37.80099739,-122.2434242,Level 2
009 072401200,860 33RD ST,Incomplete Evaluation,37.8239189,-122.2744524,Incomplete Evaluation
032 204601300,2290 HIGH ST,Done - Level 1,37.77956134,-122.2065343,Level 1
021 022000700,650 E 17TH ST,Incomplete Evaluation,37.79660932,-122.2493182,Incomplete Evaluation
032 208702703,3810 FOOTHILL BLVD,Done - Level 1,37.7788977,-122.216215,Level 1
011 083715300,525 MANDANA BLVD,Incomplete Evaluation - Unclaimed,37.81254791,-122.2442119,Incomplete Evaluation
036 248303300,5400 WALNUT ST,Incomplete Evaluation,37.77497581,-122.193808,Incomplete Evaluation
021 022500502,155 ATHOL AVE,Done - Level 2 Required  ,37.80121401,-122.2528336,Level 2
021 022702800,329 LESTER AVE,Level 2 - Missing slope,37.80209591,-122.2504897,Incomplete Evaluation
038 321104001,6125 HAYES ST,Level 1 - missing data ,37.76738449,-122.1932655,Level 1
010 079101906,370 ORANGE ST,Done - Level 2 Required  ,37.81618221,-122.2557495,Level 2
037 254700806,3861 BUELL ST,Done - Level 1,37.78703463,-122.185986,Level 1
040 333600800,2515 76TH AVE,Done - Level 1,37.76495175,-122.1747075,Level 1
029 099200201,2453 DAMUTH ST Bldg #3,Done - Level 1,37.800764,-122.211312,Level 1
020 018600500,537 E 17TH ST,Incomplete Evaluation,37.79715725,-122.2507963,Incomplete Evaluation
021 022800400,311 NEWTON AVE,Incomplete Evaluation,37.80179488,-122.2489482,Incomplete Evaluation
023 041301300,442 MERRITT AVE,Done - Level 1,37.80573186,-122.2488109,Level 1
012 099201701,121 41ST ST,Incomplete Evaluation,37.82610752,-122.2518124,Incomplete Evaluation
025 071202700,1500 27TH AVE,Incomplete Evaluation,37.78143839,-122.2303257,Incomplete Evaluation
028 090000700,3135 CHAMPION ST,Level 1 - missing data ,37.79637012,-122.2166172,Level 1
014 122001502,5359+5351 TELEGRAPH AVE,Done - Level 1,37.83904783,-122.2629241,Level 1
020 020500900,2344 E 17TH ST,Incomplete Evaluation - Unclaimed,37.78557935,-122.2323504,Incomplete Evaluation
010 078002203,420 BURK ST,Incomplete Evaluation,37.80939996,-122.2509264,Incomplete Evaluation
027 088101400,2020 COOLIDGE AVE,Done - Level 1,37.7835345,-122.2207093,Level 1
023 043300600,714 HILLGIRT CIR,Incomplete Evaluation - Unclaimed,37.80762686,-122.2428617,Incomplete Evaluation
010 081401100,3779 HARRISON ST,Done - Level 1,37.82121897,-122.2526226,Level 1
010 081702000,40 MOSS AVE,Ask for exemption - did not review,37.81953436,-122.251603,Exempt
010 080300400,256 29TH ST,Incomplete Evaluation,37.8173536,-122.2604652,Incomplete Evaluation
012 099002601,32 LINDA AVE,Incomplete Evaluation,37.82688011,-122.2501731,Incomplete Evaluation
029A130101200,3565 DIMOND AVE,Exempt - engineer's letter,37.80200654,-122.2172799,Exempt
010 077200200,285 VAN BUREN AVE,Done - Level 1,37.81095846,-122.2571181,Level 1
023 044001801,750 MACARTHUR BLVD,Incomplete Evaluation,37.80718768,-122.241163,Incomplete Evaluation
012 098501300,3843 HOWE ST,Exempt - retrofitted,37.8255584,-122.2556797,Exempt
030 192901705,3849 MAYBELLE AVE,Exempt - engineer's letter,37.7911128,-122.1930213,Exempt
012 093000201,749 OAKLAND AVE,Done - Level 1,37.82148648,-122.2486946,Level 1
012 092700600,322 MONTE VISTA AVE,Done - Level 1,37.82271955,-122.2495351,Level 1
027 089401100,2401 BARTLETT ST,Incomplete Evaluation - Unclaimed,37.78764971,-122.2132895,Incomplete Evaluation
032 206904400,4100 LYON AVE,Level 1 - missing data ,37.78207927,-122.2059921,Level 1
020 021500301,1125 E 18TH ST,Exempt - retrofitted,37.79341814,-122.2450128,Exempt
012 101101100,450 40TH ST,Exempt - no large openings,37.82906787,-122.2621086,Exempt
008 062900701,1565 MADISON ST,Incomplete Evaluation,37.80373713,-122.263124,Incomplete Evaluation
038 321001600,5924 HAYES ST,Done - Level 1,37.7684877,-122.1935232,Level 1
032 204703000,2144 HIGH ST,Incomplete Evaluation - Unclaimed,37.77756781,-122.2084178,Incomplete Evaluation
022 034001300,2445 8TH AVE,Incomplete Evaluation,37.80075059,-122.2412835,Incomplete Evaluation
020 012800700,136 E 12TH ST,Done - Level 1,37.79762465,-122.2572012,Level 1
027 086201501,3061 CURRAN AVE,Exempt - less than 5 units,37.79262331,-122.2114005,Exempt
010 079001400,385 ADAMS ST,Done - Level 2 in process,37.81545234,-122.2545347,Level 2
022 030901001,351 HANOVER AVE,Exempt - engineer's letter,37.80316804,-122.25025,Exempt
021 022802100,211 ATHOL AVE,Done - Level 1,37.80095307,-122.2513125,Level 1
010 078702300,350 JAYNE AVE,Exempt - no large openings,37.8136117,-122.2548412,Exempt
021 022801600,237 ATHOL AVE,Exempt - retrofitted,37.80104724,-122.2505444,Exempt
008 067600900,542 25TH ST,Incomplete Evaluation,37.81483447,-122.2695916,Incomplete Evaluation
012 101101304,460 40TH ST,Exempt - less than 5 units,37.82914881,-122.2626201,Exempt
027 084401004,2564 FRUITVALE AVE,Incomplete Evaluation - Unclaimed,37.78874956,-122.2202731,Incomplete Evaluation
046 549000800,9829 MACARTHUR BLVD,Incomplete Evaluation - Unclaimed,37.74897789,-122.1586306,Incomplete Evaluation
023 041801200,637 BEACON ST,Incomplete Evaluation,37.80849511,-122.2464517,Incomplete Evaluation
033 215200400,4069 E 18TH ST,Exempt - less than 5 units,37.77576477,-122.2152605,Exempt
032 204602900,2212 HIGH ST,Incomplete Evaluation,37.77850122,-122.2075576,Incomplete Evaluation
003 004302000,1830 CASTRO ST,Done - Level 1,37.8097495,-122.2748544,Level 1
011 084001900,846 YORK ST,Done - Level 1,37.81324964,-122.2428824,Level 1
020 018400300,323 E 17TH ST,Incomplete Evaluation - Unclaimed,37.79849503,-122.2526527,Incomplete Evaluation
047 555802405,2201 106TH AVE,Done - Level 1,37.74185141,-122.1567383,Level 1
008 062702700,1470 ALICE ST,Done - Level 1,37.80344407,-122.265404,Level 1
032 204701201,2129 COURTLAND AVE,Incomplete Evaluation,37.77677924,-122.2089808,Incomplete Evaluation
038 322400302,5511 HILTON ST,Incomplete Evaluation - Unclaimed,37.77178454,-122.1966023,Incomplete Evaluation
032 211602800,1952 35TH AVE,Done - Level 1,37.78294044,-122.2179383,Level 1
010 082301601,411 SANTA CLARA AVE,Incomplete Evaluation,37.81267637,-122.2489973,Incomplete Evaluation
023 041002000,640 BROOKLYN AVE,Exempt - engineer's letter,37.80432067,-122.2471182,Exempt
027 084800401,3035 LYNDE ST Bldg A,Done - Level 1,37.79073812,-122.2188854,Level 1
010 083401200,621 VALLE VISTA AVE,Incomplete Evaluation,37.81731363,-122.2469976,Incomplete Evaluation
022 035301710,1848 E 25TH ST,Exempt - no large openings,37.79542873,-122.2336082,Exempt
046 544801000,9633 BIRCH ST,Done - Level 1,37.74757606,-122.1660056,Level 1
012 097700800,3909 SHAFTER AVE,Exempt - retrofitted,37.82773739,-122.2602791,Exempt
043A463902101,8656 MACARTHUR BLVD,Level 1 - missing data ,37.7584198,-122.162016,Level 1
008 062601100,1515 ALICE ST,Exempt - no large openings,37.80412721,-122.2658175,Exempt
014 123202400,430 AVON ST,Incomplete Evaluation - Unclaimed,37.83784474,-122.2585775,Incomplete Evaluation
009 071301100,828 31ST ST,Incomplete Evaluation,37.82143315,-122.2741917,Incomplete Evaluation
012 097001700,3805 CLARKE ST,Exempt - less than 5 units,37.82742067,-122.2639725,Exempt
008 062603300,1622 HARRISON ST,Exempt - city inspection,37.80485268,-122.2659478,Exempt
036 242001100,2100 51ST AVE,Done - Level 1,37.7737403,-122.2039936,Level 1
010 080201200,236 29TH ST,Incomplete Evaluation,37.81692446,-122.2593582,Incomplete Evaluation
013 113402800,1977 PLEASANT VALLEY AVE,Incomplete Evaluation - Unclaimed,37.83229872,-122.2498804,Incomplete Evaluation
020 017801700,1518 4TH AVE,Incomplete Evaluation,37.79725737,-122.2531667,Incomplete Evaluation
013 111401200,4231 HOWE ST,Done - Level 1,37.82910878,-122.2509778,Level 1
010 078400400,353 EUCLID AVE,Done - Level 1,37.8127201,-122.2526038,Level 1
029A130200300,3711 FRUITVALE AVE,Done - Level 1,37.80304963,-122.2154402,Level 1
012 099600300,275 41ST ST,Done - Level 1,37.82789366,-122.2554967,Level 1
010 077403202,290 LEE ST,Ask for exemption - did not review ,37.8122921,-122.2563174,Exempt
021 027400300,1929 7TH AVE - front ,Level 1 - missing data,37.7981496,-122.2472837,Level 1
023 041300802,501 WESLEY AVE,Done - Level 2 Required  ,37.80501246,-122.2492822,Level 2
022 030802400,317 HANOVER AVE,Ask for exemption - did not review ,37.80307462,-122.2513696,Exempt
022 035301602,1836 E 25TH ST,Level 2 - Missing slope,37.79517603,-122.2339009,Incomplete Evaluation
010 078201400,370 VAN BUREN AVE,Done - Level 1,37.8108559,-122.2546027,Level 1
012 098802601,100 MONTE CRESTA AVE,Incomplete Evaluation,37.82488629,-122.2491775,Incomplete Evaluation
011 083700200,491 MANDANA BLVD,Level 2 - Missing slope,37.81320607,-122.244972,Incomplete Evaluation
039 327502400,6663 FOOTHILL BLVD,Level 1 - missing data ,37.76995331,-122.1805068,Level 1
046 542802000,1522 98TH AVE,Incomplete Evaluation,37.74496428,-122.1686043,Incomplete Evaluation
022 034300700,2535 11TH AVE,Incomplete Evaluation - Unclaimed,37.79915796,-122.2384203,Incomplete Evaluation
012 097600300,409 38TH ST,Incomplete Evaluation - Unclaimed,37.82626898,-122.2608715,Incomplete Evaluation
048A705000500,5606 TAFT AVE,Incomplete Evaluation,37.84367342,-122.2471052,Incomplete Evaluation
011 084202501,888 VERMONT ST,Exempt - engineer's letter,37.81465194,-122.2437332,Exempt
016 142101700,6616 TELEGRAPH AVE,Incomplete Evaluation,37.85248191,-122.2597935,Incomplete Evaluation
021 026800500,924 E 20TH ST,Incomplete Evaluation - Unclaimed,37.79655205,-122.2443332,Incomplete Evaluation
032 205802400,2605 HIGH ST,Incomplete Evaluation,37.78277186,-122.2042103,Incomplete Evaluation
025 073301301,1773 28TH AVE,Done - Level 1,37.78349927,-122.2269309,Level 1
021 022700500,328 HANOVER AVE,Done - Level 1,37.80250402,-122.2509773,Level 1
020 013100400,1435 3RD AVE,Exempt - retrofitted,37.79782615,-122.2551848,Exempt
010 077201200,451 LEE ST,Exempt - engineer's letter,37.80972818,-122.2573228,Exempt
027 086201602,3055 CURRAN AVE,Incomplete Evaluation,37.79246657,-122.2113209,Incomplete Evaluation
022 036702301,2924 14TH AVE,Done - Level 1,37.79758755,-122.2296969,Level 1
022 035301711,1852 E 25TH ST,Exempt - no large openings,37.79538285,-122.2337273,Exempt
008 067600500,522 25TH ST,Exempt - no large openings,37.81469096,-122.2690602,Exempt
032 205808600,4059 ALLENDALE AVE,Level 1 - missing data ,37.78432363,-122.2041557,Level 1
021 022601501,185 ATHOL AVE,Done - Level 2 Required  ,37.80114402,-122.2520309,Level 2
027 085603803,3000 NICOL AVE,Done - Level 1,37.79328586,-122.2148224,Level 1
010 077200901,441 LEE ST,Exempt - engineer's letter,37.81017069,-122.2571096,Exempt
010 082000500,499 CHETWOOD ST,Incomplete Evaluation,37.8172608,-122.2507567,Incomplete Evaluation
023 047100800,558 CAPELL ST,Done - Level 1,37.80346634,-122.2402726,Level 1
010 081501000,555 OAKLAND AVE,Done - Level 1,37.82017592,-122.2524739,Level 1
020 012700700,1227 3RD AVE,Exempt - city inspection,37.79708455,-122.2563061,Exempt
005 040801900,1809 FILBERT ST,Done - Level 1,37.81197235,-122.282069,Level 1
016 140202601,387 ALCATRAZ AVE,Incomplete Evaluation,37.85047205,-122.2562742,Incomplete Evaluation
027 084602400,3242 DAVIS ST,Done - Level 1,37.7891611,-122.2176901,Level 1
032 206701400,2626 OCTAVIA ST,Exempt - less than 5 units,37.78759983,-122.2090799,Exempt
016 139103900,473 ALCATRAZ AVE,Done - Level 1,37.85007528,-122.2596016,Level 1
008 062702500,1450 ALICE ST,Exempt - no large openings,37.80310687,-122.2656144,Exempt
021 022700901,350 HANOVER AVE,Done - Level 1,37.8026222,-122.2501807,Level 1
025 073102200,1722 27TH AVE,Done - Level 1,37.78325667,-122.2284062,Level 1
025 072501200,1825 FRUITVALE AVE,Done - Level 1,37.78264864,-122.2237356,Level 1
021 022403302,226 ATHOL AVE,Incomplete Evaluation,37.80039991,-122.2516838,Incomplete Evaluation
020 017801600,1506 4TH AVE,Exempt - no large openings,37.79715969,-122.2533952,Exempt
010 078500500,259 MACARTHUR BLVD,Done - Level 1,37.81529913,-122.252423,Level 1
030 192502900,3800 39TH AVE,Level 1 - missing data ,37.7914261,-122.1939276,Level 1
014 122001502,5325+5333 TELEGRAPH AVE,Done - Level 1,37.83886,-122.262109,Level 1
012 098702000,69 GLEN AVE,Done - Level 1,37.82517734,-122.2508489,Level 1
013 109702501,490 42ND ST,Done - Level 1,37.83109801,-122.2632043,Level 1
008 063000401,101 17TH ST,Ask for exemption - did not review ,37.80365301,-122.2616349,Exempt
012 092700500,332 MONTE VISTA AVE,Ask for exemption - did not review ,37.8226071,-122.2493715,Exempt
030 192902101,3809 MAYBELLE AVE,Incomplete Evaluation - Unclaimed,37.79069162,-122.1935932,Incomplete Evaluation
019 003100700,528 E 11TH ST,Incomplete Evaluation,37.79412307,-122.2550385,Incomplete Evaluation
010 080702500,3287 KEMPTON AVE,Exempt - no large openings,37.81988139,-122.2577718,Exempt
022 030700400,357 ATHOL AVE,Level 1 - missing data,37.8025057,-122.2478085,Level 1
020 013500401,635 E 15TH ST,Incomplete Evaluation - Unclaimed,37.79502955,-122.2516001,Incomplete Evaluation
008 064700200,2101 TELEGRAPH AVE,Incomplete Evaluation,37.8106415,-122.2697483,Incomplete Evaluation
022 030902700,488 STOW AVE,Exempt - no large openings,37.80358798,-122.2495732,Exempt
010 077001600,140 MONTECITO AVE,Incomplete Evaluation - Unclaimed,37.81148856,-122.2594843,Incomplete Evaluation
010 079102402,392 ORANGE ST,Incomplete Evaluation,37.81663079,-122.2549522,Incomplete Evaluation
022 035301401,1860 E 25TH ST,Done - Level 1,37.79490814,-122.2336546,Level 1
010 078601200,361 PALM AVE,Exempt - retrofitted,37.81247005,-122.2541761,Exempt
010 076900701,171 MONTECITO AVE,Incomplete Evaluation,37.81226845,-122.2592374,Incomplete Evaluation
012 098802001,138 MONTE CRESTA AVE,Incomplete Evaluation,37.82437206,-122.2497774,Incomplete Evaluation
033 211700402,1921 33RD AVE,Exempt - no large openings,37.783013,-122.222249,Exempt
022 034000300,2636 IVY DR,Done - Level 1,37.80159064,-122.2398918,Level 1
011 085601300,1021 WARFIELD AVE,Incomplete Evaluation,37.81679993,-122.241183,Incomplete Evaluation
038 321400100,1900 SEMINARY AVE,Incomplete Evaluation - Unclaimed,37.76716441,-122.1961574,Incomplete Evaluation
010 080601700,285 FAIRMOUNT AVE,Incomplete Evaluation,37.81793815,-122.259256,Incomplete Evaluation
032 205808100,4001 ALLENDALE AVE,Level 1 - missing data ,37.78483895,-122.2047273,Level 1
029A130402400,2240 MACARTHUR BLVD,Incomplete Evaluation,37.80032672,-122.2150939,Incomplete Evaluation
027 084401301,2604 FRUITVALE AVE,Exempt - engineer's letter,37.7893598,-122.2201618,Exempt
022 033802202,2324 PARK BLVD,Incomplete Evaluation,37.80149556,-122.2445769,Incomplete Evaluation
025 073200301,2727 E 17TH ST,Incomplete Evaluation,37.78263531,-122.2288725,Incomplete Evaluation
046 545901201,2008 90TH AVE,Incomplete Evaluation,37.75247366,-122.1673221,Incomplete Evaluation
010 083000900,671 VERNON ST,Done - Level 1,37.82019971,-122.2485363,Level 1
010 079000203,433 ADAMS ST,Incomplete Evaluation,37.81623561,-122.2530559,Incomplete Evaluation
021 028400400,1025 E 22ND ST,Done - Level 1,37.79673559,-122.2420847,Level 1
